domestic_investment,inflation,remittances,stock_market,growth,openning_commercial_rate,exchange_rate,countries,year
20.206398881516073,1.7192242291640536,18.33430416131795,24.94948494080651,6.301756019781263,7.207807198,2.2541410689462094,Mali,1997
20.0649732057691,0.5536408470593571,18.251822185268807,24.94948494080651,6.348713608676466,7.211986552,2.2622229753183896,Mali,1998
20.146222432343606,2.790308641868893,18.27343735518194,24.94948494080651,6.377267439035934,7.247592147,2.282833219443873,Mali,1999
20.075519853371468,1.8104143642980162,18.10821343763379,24.94948494080651,6.348540363778648,7.278177897,2.363269587841584,Mali,2000
20.20569387698526,1.5429480663501915,18.294746302194618,24.94948494080651,6.462297079534918,7.281022298,2.4250659654039715,Mali,2001
20.325682043933718,1.2564367043163722,18.740251615974586,24.94948494080651,6.462713948817165,7.298463342,2.3997647360806322,Mali,2002
20.61136933631983,1.8104143642980162,18.851156810204753,24.94948494080651,6.518979975831334,7.295781987,2.259091129128462,Mali,2003
20.8195375006114,1.2805515900571036,18.861921468966923,24.94948494080651,6.502723160320714,7.314803665,2.182451171206516,Mali,2004
20.957990214115302,2.0151310119958397,18.99271090341256,24.94948494080651,6.53369413715895,7.352415238,2.182111879514449,Mali,2005
21.05650343356214,1.5361945979317444,19.171350489954538,24.94948494080651,6.546319119758566,7.366791853,2.174249701515948,Mali,2006
21.237250912912977,1.5162356462911306,19.655923076936784,24.94948494080651,6.547285467852404,7.399802161,2.1031987575328106,Mali,2007
21.541311683389676,1.9846317873871624,19.881597585353607,24.94948494080651,6.560621568306736,7.407515837,2.047734777969859,Mali,2008
21.449860419986862,1.5338372925083223,19.93303580290317,24.94948494080651,6.574954196511031,7.35530799,2.086553690285617,Mali,2009
21.52105034504786,1.4736181285933492,19.97406781842886,24.94948494080651,6.595143421539764,7.393555577,2.130272281149103,Mali,2010
21.60886994657855,2.5000325189282364,20.480057337474943,24.94948494080651,6.596323214727279,7.409114955,2.0906132797767403,Mali,2011
21.33506931346019,1.5272311842751591,20.53387657167003,24.94948494080651,6.5583955804457466,7.415558755,2.155064255131705,Mali,2012
21.542229128327065,-0.42674216409506005,20.611785590558718,24.94948494080651,6.552076406244225,7.402451991,2.1288867194952696,Mali,2013
21.668254511446065,0.2379481721303825,20.640172149572066,24.94948494080651,6.591506768238275,7.422635328,2.1289857890760784,Mali,2014
21.60100903248552,1.0590080853464545,20.520662094658196,24.94948494080651,6.622035129530376,7.41702816,2.278737821702017,Mali,2015
21.681381951742843,0.30093559056078806,20.532929411653388,24.94948494080651,6.649155307710362,7.461364383,2.2831449552545875,Mali,2016
21.75439179590536,0.6597316544722173,20.599127418918986,24.94948494080651,6.670858367479038,17.13068462,2.2713005851457537,Mali,2017
21.883879678736527,0.3770408809897285,20.74509996938221,24.94948494080651,6.687150524938098,17.15586476,2.2392301294158217,Mali,2018
22.96555044492676,-0.8312867472766168,21.495904979396073,24.94948494080651,7.442608205093748,7.293997393,1.2212673870472366,Maroc,1996
22.910385406865302,-0.3377247060066884,21.361328180760324,24.94948494080651,7.413233064948842,7.29045965,1.2204611218307382,Maroc,1997
23.038583410015132,-0.938226369816771,21.421717743331904,24.94948494080651,7.470140955329305,7.281164688,1.2202397767898079,Maroc,1998
23.11478891655115,-0.5629150764311832,21.384976854321096,24.94948494080651,7.46834940250859,7.310121522,1.2223773960020405,Maroc,1999
23.072823665575896,1.8104143642980162,21.49381950485306,24.94948494080651,7.474999458481473,7.31723989,1.2447451976160704,Maroc,2000
23.045856965968635,-0.4272238075536059,21.905275276063804,24.94948494080651,7.533515541411643,7.312843344,1.379521476832462,Maroc,2001
23.132043305477314,0.18941673500533948,21.78006696175503,24.94948494080651,7.552275089886352,7.32623465,1.5040033200326597,Maroc,2002
23.32587085708541,0.060723443257809206,22.00805794284883,24.94948494080651,7.5983067907195725,7.347607157,1.7665912227084644,Maroc,2003
23.512810076058134,0.1982122182133195,22.163299051562337,24.94948494080651,7.633369259558598,7.420182107,1.8239429255060695,Maroc,2004
23.600192300719797,0.1744075009626362,22.246977397983862,24.94948494080651,7.6539986497355,7.496181183,1.754201816809011,Maroc,2005
23.720095747905106,0.4369836442206271,22.41913298367558,24.94948494080651,7.715300673759528,7.559875796,1.746268025019463,Maroc,2006
23.958647150637645,1.2795592348475797,22.629911177366896,24.94948494080651,7.738276361418037,7.639360479,1.7290740448012591,Maroc,2007
24.183938331358465,1.5108316674688855,22.65395904034126,24.94948494080651,7.783891190190532,7.722017856,1.6923994331484478,Maroc,2008
